Delayed or didn't get other medical care compared by Regions in California,,,,,,,,,,,,,,,,,,,,,,,,
Age in years ( 18 - 106 ),,,,,,,,,,,,,,,,,,,,,,,,
State,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Regions in California,,,,,,,,,,,,,,,,,,,,,,,
Delayed or didn't get other medical care,North/Sierra Counties,,,Greater Bay Area,,,Sacramento Area,,,San Joaquin Valley,,,Central Coast,,,Los Angeles,,,Other Southern California,,,All,,
,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population
Delayed or didn't get care,22.1%,20.8 - 23.4,"237,000",18.8%,18.0 - 19.5,"1,111,000",19.6%,18.1 - 21.0,"356,000",16.7%,15.6 - 17.7,"507,000",20.7%,19.3 - 22.2,"357,000",19.4%,18.7 - 20.0,"1,470,000",18.7%,18.0 - 19.3,"1,556,000",19.0%,18.6 - 19.3,"5,594,000"
Did not delay care,77.9%,76.6 - 79.2,"837,000",81.2%,80.5 - 82.0,"4,806,000",80.4%,79.0 - 81.9,"1,465,000",83.3%,82.3 - 84.4,"2,538,000",79.3%,77.8 - 80.7,"1,362,000",80.6%,80.0 - 81.3,"6,114,000",81.3%,80.7 - 82.0,"6,782,000",81.0%,80.7 - 81.4,"23,905,000"
Total,100.0%,-,"1,075,000",100.0%,-,"5,916,000",100.0%,-,"1,821,000",100.0%,-,"3,045,000",100.0%,-,"1,719,000",100.0%,-,"7,585,000",100.0%,-,"8,338,000",100.0%,-,"29,500,000"
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Created on: 6/29/2026 9:54 AM,,,,,,,,,,,,,,,,,,,,,,,,
"Source: 2021, 2022, 2023, 2024 California Health Interview Survey",,,,,,,,,,,,,,,,,,,,,,,,