Main reason delayed or had forgone needed medical care (3 categories) compared by Gender,,,,,,,,,
"
Asked of respondents who delayed/did not get other needed medical care in past 12 months  ",,,,,,,,,
Age in years ( 18 - 106 ),,,,,,,,,
Regions in California (Bay Area Counties),,,,,,,,,
,,,,,,,,,
,Gender,,,,,,,,
Main reason delayed or had forgone needed medical care (3 categories),Male,,,Female,,,All,,
,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population
"Cost, lack of insurance, or other insurance-related reasons  ",19.7%,14.4 - 25.0,"79,000",21.7%,18.2 - 25.2,"134,000",20.9%,18.1 - 23.7,"213,000"
Healthcare system/provider issues and barriers ,40.7%,35.1 - 46.3,"163,000",47.8%,43.8 - 51.9,"296,000",45.1%,41.9 - 48.2,"459,000"
Personal and other reasons,39.6%,34.4 - 44.7,"159,000",30.5%,26.5 - 34.4,"189,000",34.0%,30.7 - 37.4,"348,000"
Total,100.0%,-,"401,000",100.0%,-,"619,000",100.0%,-,"1,020,000"
,,,,,,,,,
,,,,,,,,,
Created on: 6/25/2026 10:15 AM,,,,,,,,,
"Source: 2023, 2024 California Health Interview Survey",,,,,,,,,