Main reason delayed or had forgone needed medical care (3 categories) compared by Regions in California,,,,,,,,,,,,,,,,,,,,,,,,
"
Asked of respondents who delayed/did not get other needed medical care in past 12 months  ",,,,,,,,,,,,,,,,,,,,,,,,
Age in years ( 18 - 106 ),,,,,,,,,,,,,,,,,,,,,,,,
State,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Regions in California,,,,,,,,,,,,,,,,,,,,,,,
Main reason delayed or had forgone needed medical care (3 categories),North/Sierra Counties,,,Greater Bay Area,,,Sacramento Area,,,San Joaquin Valley,,,Central Coast,,,Los Angeles,,,Other Southern California,,,All,,
,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population
"Cost, lack of insurance, or other insurance-related reasons  ",29.6%,24.8 - 34.4,"71,000",20.9%,18.1 - 23.7,"213,000",20.4%,15.9 - 24.9,"72,000",27.7%,23.0 - 32.5,"143,000",23.0%,17.9 - 28.2,"77,000",26.0%,23.2 - 28.9,"367,000",24.8%,22.0 - 27.6,"372,000",24.6%,23.1 - 26.0,"1,315,000"
Healthcare system/provider issues and barriers ,44.7%,40.0 - 49.3,"107,000",45.1%,41.9 - 48.2,"459,000",46.2%,40.5 - 52.0,"156,000",45.0%,39.5 - 50.5,"232,000",43.0%,37.8 - 48.3,"144,000",37.3%,34.0 - 40.6,"523,000",42.2%,39.1 - 45.4,"634,000",42.1%,40.6 - 43.6,"2,254,000"
Personal and other reasons,25.7%,21.8 - 29.6,"61,000",34.0%,30.7 - 37.4,"348,000",33.4%,28.5 - 38.2,"113,000",27.3%,22.6 - 31.9,"141,000",34.0%,28.4 - 39.5,"114,000",36.7%,33.9 - 39.4,"514,000",33.0%,29.9 - 36.1,"494,000",33.3%,32.0 - 34.7,"1,784,000"
Total,100.0%,-,"238,000",100.0%,-,"1,020,000",100.0%,-,"340,000",100.0%,-,"517,000",100.0%,-,"334,000",100.0%,-,"1,404,000",100.0%,-,"1,499,000",100.0%,-,"5,353,000"
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Created on: 6/29/2026 9:51 AM,,,,,,,,,,,,,,,,,,,,,,,,
"Source: 2023, 2024 California Health Interview Survey",,,,,,,,,,,,,,,,,,,,,,,,