Main reason delayed or had forgone needed medical care (3 categories) compared by Race - OMB/Department of Finance,,,,,,,,,,,,,,,,,,,,,,,,
"
Asked of respondents who delayed/did not get other needed medical care in past 12 months  ",,,,,,,,,,,,,,,,,,,,,,,,
Age in years ( 18 - 106 ),,,,,,,,,,,,,,,,,,,,,,,,
Regions in California (Bay Area Counties),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
* = statistically unstable,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Race - OMB/Department of Finance,,,,,,,,,,,,,,,,,,,,,,,
Main reason delayed or had forgone needed medical care (3 categories),Latino,,,White (non-Latino),,,Black or African American (non-Latino),,,American-Indian/Alaska Native (non-Latino),,,Asian (non-Latino),,,Native Hawaiian/Pacific Islander (non-Latino),,,Two or More Races (non-Latino),,,All,,
,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population
"Cost, lack of insurance, or other insurance-related reasons   (2023)",34.4%,22.3 - 46.6,"89,000",19.5%,13.4 - 25.7,"93,000",-,-,-,-,-,-,10.9%,6.3 - 15.5,"26,000",-,-,-,45.6%,25.4 - 65.7,"11,000",21.6%,17.1 - 26.0,"226,000"
"Cost, lack of insurance, or other insurance-related reasons   (2024)",21.8%,13.5 - 30.2,"41,000",22.7%,17.0 - 28.4,"100,000",36.7*,14.3 - 59.2,"16,000",-,-,-,10.7%,6.3 - 15.2,"28,000",-,-,-,29.2%,15.7 - 42.8,"15,000",20.2%,16.7 - 23.7,"201,000"
Healthcare system/provider issues and barriers  (2023),33.9%,22.5 - 45.4,"88,000",43.8%,36.2 - 51.5,"209,000",60.0*,35.1 - 84.9,"23,000",-,-,-,50.2%,38.4 - 62.0,"122,000",-,-,-,39.8%,21.3 - 58.3,"9,000",43.1%,38.3 - 47.9,"452,000"
Healthcare system/provider issues and barriers  (2024),41.9%,31.6 - 52.2,"78,000",44.0%,37.3 - 50.7,"195,000",34.6*,13.6 - 55.6,"15,000",-,-,-,58.7%,50.5 - 66.9,"156,000",-,-,-,38.0%,22.6 - 53.4,"20,000",47.0%,42.7 - 51.3,"467,000"
Personal and other reasons (2023),31.6%,22.4 - 40.9,"82,000",36.6%,30.0 - 43.3,"174,000",38.2*,13.5 - 62.9,"15,000",-,-,-,38.9%,27.2 - 50.6,"95,000",-,-,-,14.7*,1.8 - 27.6,"3,000",35.3%,30.2 - 40.4,"370,000"
Personal and other reasons (2024),36.3%,27.6 - 45.0,"68,000",33.3%,27.1 - 39.5,"147,000",28.6*,9.0 - 48.3,"13,000",-,-,-,30.6%,23.4 - 37.8,"81,000",-,-,-,32.7%,17.8 - 47.6,"17,000",32.8%,28.4 - 37.2,"326,000"
Total (2023),100.0%,-,"259,000",100.0%,-,"476,000",100.0%,-,"38,000",-,-,-,100.0%,-,"243,000",100.0%,-,"8,000",100.0%,-,"23,000",100.0%,-,"1,047,000"
Total (2024),100.0%,-,"186,000",100.0%,-,"442,000",100.0%,-,"44,000",100.0%,-,"3,000",100.0%,-,"265,000",-,-,-,100.0%,-,"52,000",100.0%,-,"993,000"
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Created on: 6/29/2026 9:35 AM,,,,,,,,,,,,,,,,,,,,,,,,
"Source: 2023, 2024 California Health Interview Survey",,,,,,,,,,,,,,,,,,,,,,,,