Type of usual source of care compared by Gender,,,,,,,,,
", ",,,,,,,,,
Age in years ( 18 - 106 ),,,,,,,,,
Regions in California (Bay Area Counties),,,,,,,,,
,,,,,,,,,
,Gender,,,,,,,,
Type of usual source of care,Male,,,Female,,,All,,
,%,95% CI,Population,%,95% CI,Population,%,95% CI,Population
Doctor's office/HMO/Kaiser,61.9%,60.5 - 63.4,"1,799,000",67.5%,66.2 - 68.9,"2,035,000",64.8%,63.8 - 65.7,"3,834,000"
Community clinic/government clinic/community hospital,18.8%,17.6 - 19.9,"545,000",18.3%,17.1 - 19.5,"553,000",18.5%,17.8 - 19.3,"1,098,000"
Emergency room/Urgent care,0.8%,0.5 - 1.2,"24,000",0.7%,0.4 - 1.1,"22,000",0.8%,0.5 - 1.0,"46,000"
Some other place/No one place,2.2%,1.7 - 2.6,"63,000",1.7%,1.4 - 2.0,"51,000",1.9%,1.7 - 2.2,"115,000"
No usual source of care,16.3%,15.0 - 17.6,"473,000",11.7%,10.7 - 12.7,"351,000",14.0%,13.2 - 14.8,"824,000"
Total,100.0%,-,"2,904,000",100.0%,-,"3,013,000",100.0%,-,"5,916,000"
,,,,,,,,,
,,,,,,,,,
Created on: 6/25/2026 9:34 AM,,,,,,,,,
"Source: 2021, 2022, 2023, 2024 California Health Interview Survey",,,,,,,,,